CURRENCY,RATE
AUD,1.3439
ARS,27.0282
BRL,3.7854
BGN,1.6779
CAD,1.3269
CLP,636.85
CNY,6.5052
COP,2915.53
CZK,22.1403
DKK,6.3958
DOP,49.526
EGP,17.8705
EUR,0.858
FJD,2.095
GEL,2.4587
GTQ,7.49365
HKD,7.8463
HUF,278.75
INR,67.8313
IDR,14086
ILS,3.6045
JPY,109.97
KRW,1107.53
LVL,0.6029
MYR,4.0022
MUR,34.8281
MXN,20.0118
NZD,1.4471
NOK,8.0949
PKR,121.65
PGK,3.2754
PEN,3.2692
PHP,53.285
PLN,3.7088
RON,3.9988
RUB,62.9873
RSD,101.3828
SGD,1.3586
ZAR,13.4373
LKR,159
SEK,8.857
CHF,0.9881
TWD,30.294
THB,32.934
TRY,4.6771
UAH,26.24
AED,3.673
GBP,0.7537
VEF,79900
VND,22890
BOB,6.91
EEK,13.4224
HRK,6.3329
ISK,108.26
JMD,131.6429
JOD,0.7103
KES,100.71
KWD,0.30259
LBP,1510.95
LTL,2.962
PAB,1
PYG,5697.1
TTD,6.906
UYU,31.3625
BBD,2.0007
NGN,361.3
XCD,2.71
BHD,0.3789
QAR,3.6538
